ID,First Name,Last Name,Position,Team,Opponent,Game,Time,Salary,FPPG,Injury Status,Starting
nba.p.4614,DeMar,DeRozan,PF,CHI,BKN,CHI@BKN,8:00PM EST,38,40.7," "," "
nba.p.4897,Nikola,Vucevic,C,CHI,BKN,CHI@BKN,8:00PM EST,34,39.1," "," "
nba.p.5324,Zach,LaVine,SG,CHI,BKN,CHI@BKN,8:00PM EST,33,37.4," "," "
nba.p.5747,Derrick,Jones Jr.,SF,CHI,BKN,CHI@BKN,8:00PM EST,10,15.0," "," "
nba.p.5754,Alex,Caruso,SG,CHI,BKN,CHI@BKN,8:00PM EST,19,26.1,GTD," "
nba.p.5764,Lonzo,Ball,PG,CHI,BKN,CHI@BKN,8:00PM EST,25,31.1," "," "
nba.p.5841,Tony,Bradley,C,CHI,BKN,CHI@BKN,8:00PM EST,10,10.4," "," "
nba.p.6026,Troy,Brown Jr.,SF,CHI,BKN,CHI@BKN,8:00PM EST,10,6.5," "," "
nba.p.6061,Alize,Johnson,PF,CHI,BKN,CHI@BKN,8:00PM EST,10,6.0," "," "
nba.p.6169,Coby,White,PG,CHI,BKN,CHI@BKN,8:00PM EST,11,11.3,INJ," "
nba.p.6264,Matt,Thomas,SG,CHI,BKN,CHI@BKN,8:00PM EST,10,2.5," "," "
nba.p.6269,Javonte,Green,SF,CHI,BKN,CHI@BKN,8:00PM EST,10,14.4,INJ," "
nba.p.6282,Tyler,Cook,PF,CHI,BKN,CHI@BKN,8:00PM EST,10,10.4," "," "
nba.p.6396,Patrick,Williams,PF,CHI,BKN,CHI@BKN,8:00PM EST,10,12.7,INJ," "
nba.p.6436,Marko,Simonovic,C,CHI,BKN,CHI@BKN,8:00PM EST,10,1.2," "," "
nba.p.6454,Devon,Dotson,SG,CHI,BKN,CHI@BKN,8:00PM EST,10,5.8," "," "
nba.p.6580,Ayo,Dosunmu,SG,CHI,BKN,CHI@BKN,8:00PM EST,10,10.1," "," "
nba.p.4130,LaMarcus,Aldridge,C,BKN,CHI,CHI@BKN,8:00PM EST,19,25.6," "," "
nba.p.4175,Paul,Millsap,C,BKN,CHI,CHI@BKN,8:00PM EST,10,9.7," "," "
nba.p.4244,Kevin,Durant,PF,BKN,CHI,CHI@BKN,8:00PM EST,51,46.8," "," "
nba.p.4561,Blake,Griffin,C,BKN,CHI,CHI@BKN,8:00PM EST,10,17.2," "," "
nba.p.4563,James,Harden,PG,BKN,CHI,CHI@BKN,8:00PM EST,49,46.0," "," "
nba.p.4621,James,Johnson,PF,BKN,CHI,CHI@BKN,8:00PM EST,10,12.5,GTD," "
nba.p.4660,Patty,Mills,SG,BKN,CHI,CHI@BKN,8:00PM EST,13,19.9," "," "
