ID,First Name,Last Name,Position,Team,Opponent,Game,Time,Salary,FPPG,Injury Status,Starting
nba.p.4163,P.J.,Tucker,PF,MIL,BKN,MIL@BKN,7:30PM EDT,10,12.5," "," "
nba.p.4472,Brook,Lopez,C,MIL,BKN,MIL@BKN,7:30PM EDT,19,24.7," "," "
nba.p.4622,Jrue,Holiday,PG,MIL,BKN,MIL@BKN,7:30PM EDT,34,37.2," "," "
nba.p.4624,Jeff,Teague,PG,MIL,BKN,MIL@BKN,7:30PM EDT,10,13.3," "," "
nba.p.5073,Khris,Middleton,SF,MIL,BKN,MIL@BKN,7:30PM EDT,30,36.6," "," "
nba.p.5185,Giannis,Antetokounmpo,PF,MIL,BKN,MIL@BKN,7:30PM EDT,55,54.1," "," "
nba.p.5362,Thanasis,Antetokounmpo,SF,MIL,BKN,MIL@BKN,7:30PM EDT,10,7.7,INJ," "
nba.p.5482,Bobby,Portis,C,MIL,BKN,MIL@BKN,7:30PM EDT,13,24.0," "," "
nba.p.5501,Pat,Connaughton,SF,MIL,BKN,MIL@BKN,7:30PM EDT,10,16.7," "," "
nba.p.5528,Axel,Toupane,SG,MIL,BKN,MIL@BKN,7:30PM EDT,10,4.5," "," "
nba.p.5726,Bryn,Forbes,SG,MIL,BKN,MIL@BKN,7:30PM EDT,10,13.6," "," "
nba.p.5828,Justin,Jackson,SF,MIL,BKN,MIL@BKN,7:30PM EDT,10,12.4," "," "
nba.p.6028,Donte,DiVincenzo,SG,MIL,BKN,MIL@BKN,7:30PM EDT,10,24.1,INJ," "
nba.p.6437,Jordan,Nwora,SF,MIL,BKN,MIL@BKN,7:30PM EDT,10,9.7," "," "
nba.p.6452,Sam,Merrill,SG,MIL,BKN,MIL@BKN,7:30PM EDT,10,5.6," "," "
nba.p.6456,Mamadi,Diakite,SF,MIL,BKN,MIL@BKN,7:30PM EDT,10,8.6," "," "
nba.p.6510,Elijah,Bryant,SG,MIL,BKN,MIL@BKN,7:30PM EDT,10,9.7," "," "
nba.p.4244,Kevin,Durant,SF,BKN,MIL,MIL@BKN,7:30PM EDT,48,47.3," "," "
nba.p.4247,Jeff,Green,PF,BKN,MIL,MIL@BKN,7:30PM EDT,13,19.8,INJ," "
nba.p.4497,DeAndre,Jordan,C,BKN,MIL,MIL@BKN,7:30PM EDT,10,21.6," "," "
nba.p.4561,Blake,Griffin,PF,BKN,MIL,MIL@BKN,7:30PM EDT,10,22.4," "," "
nba.p.4563,James,Harden,PG,BKN,MIL,MIL@BKN,7:30PM EDT,53,52.9," "," "
nba.p.4840,Kyrie,Irving,SG,BKN,MIL,MIL@BKN,7:30PM EDT,39,44.9," "," "
nba.p.5344,Joe,Harris,SF,BKN,MIL,MIL@BKN,7:30PM EDT,17,23.0," "," "
nba.p.5349,Spencer,Dinwiddie,PG,BKN,MIL,MIL@BKN,7:30PM EDT,10,17.7,INJ," "
nba.p.5376,Tyler,Johnson,PG,BKN,MIL,MIL@BKN,7:30PM EDT,10,9.7," "," "
nba.p.5655,Timothe,Luwawu-Cabarrot,SF,BKN,MIL,MIL@BKN,7:30PM EDT,10,11.5," "," "
nba.p.5874,Mike,James,PG,BKN,MIL,MIL@BKN,7:30PM EDT,10,14.2," "," "
nba.p.6037,Landry,Shamet,SG,BKN,MIL,MIL@BKN,7:30PM EDT,10,14.6," "," "
nba.p.6053,Bruce,Brown,SF,BKN,MIL,MIL@BKN,7:30PM EDT,11,20.7," "," "
nba.p.6061,Alize,Johnson,PF,BKN,MIL,MIL@BKN,7:30PM EDT,10,13.3,GTD," "
nba.p.6119,Chris,Chiozza,PG,BKN,MIL,MIL@BKN,7:30PM EDT,10,9.7," "," "
nba.p.6219,Nicolas,Claxton,C,BKN,MIL,MIL@BKN,7:30PM EDT,10,18.7," "," "
nba.p.6449,Reggie,Perry,C,BKN,MIL,MIL@BKN,7:30PM EDT,10,7.9," "," "
